ID,Easting,Northing,Species
30,567500,6362500,grey seal
31,562500,6352500,grey seal
32,512500,6257500,grey seal
42,517500,6257500,grey seal
52,497500,6252500,grey seal
62,512500,6252500,grey seal
72,492500,6217500,grey seal
82,482500,6212500,grey seal
92,482500,6207500,grey seal
1,562500,6352500,harbor seal
2,552500,6337500,harbor seal
4,532500,6282500,harbor seal
7,512500,6257500,harbor seal
8,517500,6257500,harbor seal
14,507500,6247500,harbor seal
15,512500,6247500,harbor seal
16,497500,6227500,harbor seal
18,507500,6227500,harbor seal
20,492500,6222500,harbor seal
21,497500,6222500,harbor seal
22,492500,6217500,harbor seal
25,482500,6212500,harbor seal
27,482500,6207500,harbor seal
28,507500,6207500,harbor seal
29,492500,6202500,harbor seal
